title,description,published,link
"VIDEO. Crise en Ukraine : à Milové, la guerre de tranchées a commencé","Alors que la tension reste plus que palpable entre la Russie et l'Ukraine, la voie diplomatique tente d'amorcer une désescalade. Mais la situation reste compliquée. La commune de Milové en est l'exemple, coupée en deux entre les deux pays.","Sat, 29 Jan 2022 21:28:32 +0100",https://www.francetvinfo.fr/replay-jt/france-2/20-heures/conflit-ukraine-russie-la-recente-escalade-de-tensions-nourrit-la-vigilance-des-soldats_4934209.html#xtor=RSS-3-[lestitres]
"Présidentielle : on vous explique la proposition d'ISF climatique portée par Hidalgo, Jadot et Mélenchon",Plusieurs candidats de gauche à la présidentielle proposent de réinstaurer un impôt de solidarité sur la fortune en l'indexant sur l'impact carbone des placements financiers des ménages les plus riches.,"Sat, 29 Jan 2022 10:34:38 +0100",https://www.francetvinfo.fr/elections/presidentielle/presidentielle-on-vous-explique-la-proposition-d-isf-climatique-portee-par-hidalgo-jadot-et-melenchon_4921023.html#xtor=RSS-3-[lestitres]
"Reportage de ""Zone Interdite"" à Roubaix : menacés, Ophélie Meunier et un habitant ont été placés sous protection policière","La chaîne M6 a diffusé dimanche un reportage en partie consacré à l'islamisme dans la ville de Roubaix, près de Lille. ","Sat, 29 Jan 2022 19:49:46 +0100",https://www.francetvinfo.fr/france/hauts-de-france/nord/reportage-de-zone-interdite-a-roubaix-ophelie-meunier-et-un-habitant-ont-ete-places-sous-protection-policiere_4934171.html#xtor=RSS-3-[lestitres]
Toulouse : trois questions sur les fugues de patients de deux hôpitaux psychiatriques,"En dix jours, quatre patients hospitalisés dans des unités psychiatriques à Toulouse, s'en sont échappés. Le dernier a été retrouvé samedi soir à Paris.","Sat, 29 Jan 2022 21:48:24 +0100",https://www.francetvinfo.fr/faits-divers/toulouse-trois-questions-sur-les-fugues-de-patients-de-deux-hopitaux-psychiatriques_4933813.html#xtor=RSS-3-[lestitres]
Italie : le président Sergio Mattarella officiellement réélu pour un second septennat,"Le président italien, qui ne comptait pas se représenter dans un premier temps, a recueilli la majorité absolue de 505 suffrages sur 1 009 grands électeurs appelés à voter.","Sat, 29 Jan 2022 21:00:45 +0100",https://www.francetvinfo.fr/monde/italie/italie-le-president-sergio-mattarella-officiellement-reelu-pour-un-second-septennat_4934191.html#xtor=RSS-3-[lestitres]
INFOGRAPHIES. Covid-19 : comment les grandes fortunes françaises se sont enrichies pendant la pandémie,"La fortune des Français les plus riches a davantage augmenté pendant la pandémie que ces dix dernières années, selon un récent rapport d'Oxfam.","Sat, 29 Jan 2022 17:36:31 +0100",https://www.francetvinfo.fr/sante/maladie/coronavirus/covid-19-quatre-questions-sur-l-enrichissement-des-grandes-fortunes-francaises-pendant-la-pandemie_4931281.html#xtor=RSS-3-[lestitres]
Coupe de France : suivez en direct le choc des huitièmes de finale entre Marseille et Montpellier,L'Olympique de Marseille reçoit Montpellier en huitièmes de finale de la Coupe de France.,"Sat, 29 Jan 2022 20:54:45 +0100",https://www.francetvinfo.fr/sports/foot/coupe-de-france/direct-coupe-de-france-suivez-le-choc-entre-marseille-et-montpellier_4932579.html#xtor=RSS-3-[lestitres]
Meurtre de Vanesa Campos : les deux principaux accusés condamnés à 22 ans de réclusion,Les peines prononcées samedi à l'encontre de deux Egyptiens vont au-delà des réquisitions de l'accusation.,"Sat, 29 Jan 2022 20:17:36 +0100",https://www.francetvinfo.fr/societe/violences-faites-aux-femmes/meurtre-de-vanesa-campos-les-deux-principaux-accuses-condamnes-a-22-ans-de-reclusion_4934183.html#xtor=RSS-3-[lestitres]
"Présidentielle : ""Que ceux qui veulent quitter le Rassemblement national partent, mais qu'ils partent maintenant"", lance Marine Le Pen",La candidate du Rassemblement nationale était interrogée sur d'éventuelles nouvelles défections dans son camp au profit d'Eric Zemmour.,"Sat, 29 Jan 2022 17:09:43 +0100",https://www.francetvinfo.fr/politique/front-national/presidentielle-que-ceux-qui-veulent-quitter-le-rassemblement-national-partent-mais-qu-ils-partent-maintenant-lance-marine-le-pen_4933969.html#xtor=RSS-3-[lestitres]
"Etats-Unis : une tempête de neige ""historique"" paralyse le nord-est du pays",Les Etats de New York et du New Jersey sont passés en état d'urgence pour faire face à cette vague de froid extrême.,"Sat, 29 Jan 2022 17:38:52 +0100",https://www.francetvinfo.fr/meteo/neige/etats-unis-une-tempete-de-neige-historique-paralyse-le-nord-est-du-pays_4934081.html#xtor=RSS-3-[lestitres]
Covid-19 : les personnes infectées avant le 15 février devront recevoir leur rappel au plus tard quatre mois après leur test positif,"Le raccourcissement du délai de validité du certificat de rétablissement a été annoncé vendredi par Olivier Véran, ministre de la Santé. Son cabinet a apporté plusieurs précisions à franceinfo, samedi.","Sat, 29 Jan 2022 17:23:24 +0100",https://www.francetvinfo.fr/sante/maladie/coronavirus/vaccin/covid-19-les-personnes-infectees-avant-le-15-fevrier-devront-recevoir-leur-rappel-au-plus-tard-quatre-mois-apres-leur-test-positif_4934041.html#xtor=RSS-3-[lestitres]
Grenoble : une manifestation organisée en marge de la visite de Jean Castex sur le logement,Une manifestation a eu lieu samedi en marge d'une réunion ministérielle qui se tient à Grenoble pour faire le bilan des actions menées en faveur de la politique de la ville. Elle était organisée par l'association Droit au logement.,"Sat, 29 Jan 2022 17:13:07 +0100",https://france3-regions.francetvinfo.fr/auvergne-rhone-alpes/isere/grenoble/photos-manifestation-a-grenoble-en-marge-de-la-visite-de-jean-castex-venu-faire-le-bilan-des-actions-en-faveur-de-la-politique-de-la-ville-2439994.html#xtor=RSS-3-[lestitres]
Haute-Savoie : un mort et une blessée grave dans une chute d'alpinisme,"Les deux alpinistes trentenaires, compagnons de cordée, ont chuté alors qu'ils évoluaient sur la montagne La Tournette.","Sat, 29 Jan 2022 18:14:25 +0100",https://www.francetvinfo.fr/france/auvergne-rhone-alpes/haute-savoie/haute-savoie-un-mort-et-une-blessee-grave-dans-une-chute-d-alpinisme_4934113.html#xtor=RSS-3-[lestitres]
"Ce week-end, comptez les oiseaux dans votre jardin avec la Ligue pour la Protection des oiseaux","Les 29 et 30 janvier, la LPO organise un comptage national des oiseaux des jardins. Cette opération, à la portée de tous, vise à observer si les oiseaux se comportent toujours de la même manière d'années en années.","Sat, 29 Jan 2022 17:13:30 +0100",https://france3-regions.francetvinfo.fr/provence-alpes-cote-d-azur/alpes-maritimes/ce-week-end-comptez-les-oiseaux-dans-votre-jardin-avec-la-ligue-pour-la-protection-des-oiseaux-2438338.html#xtor=RSS-3-[lestitres]
"Dans les coulisses du centre de conservation du Louvre, un coffre-fort géant et ultra-sécurisé installé à Liévin","C’est un immense bâtiment aux allures de bunker semi-enterré à quelques encablures du Louvre-Lens. Un lieu formellement interdit aux visiteurs et sous très haute surveillance où sont conservées les réserves du plus grand musée du monde, afin de les protéger d’une éventuelle crue de la Seine. Une équipe de France 3 Hauts-de-France a pu exceptionnellement y pénétrer.","Sat, 29 Jan 2022 16:31:13 +0100",https://www.francetvinfo.fr/culture/arts-expos/louvre/dans-les-coulisses-du-centre-de-conservation-du-louvre-un-coffre-fort-geant-et-ultra-securise-installe-a-lievin_4934011.html#xtor=RSS-3-[lestitres]
"VIDEO. ""13h15 le samedi"" : Najeebullah Bina, chirurgien afghan et espoir des cœurs d'enfants","Le chirurgien afghan Najeebullah Bina est membre de l’association La Chaîne de l’espoir, fondée par le professeur Alain Deloche, qui a ""pour vocation de renforcer les systèmes de santé pour donner à chacun, et en particulier aux enfants, les mêmes chances de survie et de développement"". Parti dans l'urgence, le docteur Bina vit désormais en Europe, entre Paris et Prague... Le ""13h15"" est allé à sa rencontre à Bamako où il opère...","Sat, 29 Jan 2022 14:26:27 +0100",https://www.francetvinfo.fr/replay-magazine/france-2/13h15/13h15-du-samedi-29-janvier-2022_4913497.html#xtor=RSS-3-[lestitres]
"Coupe de France : exploit de Versailles, qui élimine Toulouse et rejoint les quarts de finale","Le club pensionnaire de National 2, équivalent de la quatrième division, va disputer le premier quart de finale de Coupe de France de son histoire.","Sat, 29 Jan 2022 18:26:27 +0100",https://www.francetvinfo.fr/sports/foot/coupe-de-france/coupe-de-france-exploit-de-versailles-qui-elimine-toulouse-1-0-et-rejoint-les-quarts-de-finale_4934107.html#xtor=RSS-3-[lestitres]
CAN 2022 : le Cameroun rallie les demi-finales après sa victoire facile contre la Gambie,"Supérieurs et jamais inquiétés, les Camerounais ont mis fin au beau parcours de la Gambie, samedi.","Sat, 29 Jan 2022 19:15:03 +0100",https://www.francetvinfo.fr/sports/foot/can/direct-gambie-cameroun-suivez-le-premier-quart-de-finale-de-la-can-2022_4931903.html#xtor=RSS-3-[lestitres]
Open d'Australie : cinq choses à savoir avant la finale entre Rafael Nadal et Daniil Medvedev,Les deux hommes s'affrontent dimanche pour la première fois depuis novembre 2020.,"Sat, 29 Jan 2022 16:44:46 +0100",https://www.francetvinfo.fr/sports/tennis/open-d-australie/open-d-australie-5-choses-a-savoir-avant-la-finale-entre-rafael-nadal-et-daniil-medvedev_4932609.html#xtor=RSS-3-[lestitres]
Moselle : la permanence parlementaire de la députée LREM Isabelle Rauch vandalisée,"L'élue de la majorité, régulièrement victimes d'attaques sur les réseaux sociaux, va porter plainte.","Sat, 29 Jan 2022 18:42:27 +0100",https://www.francetvinfo.fr/politique/la-republique-en-marche/moselle-la-permanence-parlementaire-de-la-deputee-lrem-isabelle-rauch-vandalisee_4934127.html#xtor=RSS-3-[lestitres]
